gold_id,analysis_project_name,gold_analysis_project_type,its_analysis_project_id,img_taxon_oid,genbanks,study_gold_id,project_gold_ids,,,,
Ga0057635,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2546825534",Metatranscriptome mapping (other),1046166,,[],Gs0110148,Gp0072749,,,,
Ga0057648,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2523231029",Metatranscriptome mapping (other),1046397,,[],Gs0110148,Gp0072752,,,,
Ga0057649,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2546825534",Metatranscriptome mapping (other),1046418,,[],Gs0110148,Gp0072752,,,,
Ga0058742,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Self)",Metatranscriptome mapping (self),1051325,,[],Gs0110148,Gp0072752,,,,
Ga0058745,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Self)",Metatranscriptome mapping (self),1051328,,[],Gs0110148,Gp0072750,,,,
Ga0058746,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Self)",Metatranscriptome mapping (self),1051329,,[],Gs0110148,Gp0072749,,,,
Ga0100074,Rhodotorula graminis WP1,Genome Analysis (Isolate),,,"[{""genbankId"": ""JTAO00000000"", ""assemblyAccession"": ""GCA_001329695.1""}]",Gs0030827,Gp0003185,,,,
Ga0137579,Wickerhamomyces anomalus NRRL Y-366-8,Genome Analysis (Isolate),,,"[{""genbankId"": ""LWUN00000000"", ""assemblyAccession"": ""GCA_001661255.1""}]",Gs0034909,Gp0000032,,,,
Ga0228425,Rhodotorula graminis WP1,Genome Analysis (Isolate),1184799,2761201694,[],Gs0030827,Gp0003185,,,,
Ga0228431,Agaricus bisporus sv. burnettii JB137-s8,Genome Analysis (Isolate),1184805,2761201733,[],Gs0000012,Gp0003193,,,,
Ga0228444,Wickerhamomyces anomalus NRRL Y-366-8,Genome Analysis (Isolate),1184818,2761201697,[],Gs0034909,Gp0000032,,,,
